codim: 4, face: 80/175, weights: [-1, 0, -1, -1, 0, -2], discriminant: 1
codim: 4, face: 81/175, weights: [-1, 0, -1, 0, -1, -2], discriminant: 1
codim: 4, face: 82/175, weights: [0, 1, 0, 1, 1, -1], discriminant: 1
codim: 4, face: 83/175, weights: [-1, 0, 0, -1, -1, -2], discriminant: 1
codim: 4, face: 84/175, weights: [0, 1, 1, 0, 1, -1], discriminant: 1
codim: 4, face: 85/175, weights: [0, 1, 1, 1, 0, -1], discriminant: 1
codim: 4, face: 86/175, weights: [1, 1, 1, 2, 2, 2], discriminant: 1
codim: 4, face: 87/175, weights: [1, 1, 2, 1, 2, 2], discriminant: 1
codim: 4, face: 88/175, weights: [1, 1, 2, 2, 1, 2], discriminant: 1
codim: 4, face: 89/175, weights: [1, 1, 2, 2, 2, 1], discriminant: 1
codim: 4, face: 90/175, weights: [1, 2, 1, 1, 2, 2], discriminant: 1
codim: 4, face: 91/175, weights: [1, 2, 1, 2, 1, 2], discriminant: 1
codim: 4, face: 92/175, weights: [1, 2, 1, 2, 2, 1], discriminant: 1
codim: 4, face: 93/175, weights: [1, 2, 2, 1, 1, 2], discriminant: 1
codim: 4, face: 94/175, weights: [1, 2, 2, 1, 2, 1], discriminant: 1
codim: 4, face: 95/175, weights: [1, 2, 2, 2, 1, 1], discriminant: 1
codim: 4, face: 96/175, weights: [0, -2, -1, -1, -1, 0], discriminant: 1
codim: 4, face: 97/175, weights: [0, -2, -1, -1, 0, -1], discriminant: 1
codim: 4, face: 98/175, weights: [1, -1, 0, 0, 1, 1], discriminant: 1
codim: 4, face: 99/175, weights: [0, -1, -1, -1, 0, 0], discriminant: 1
codim: 4, face: 100/175, weights: [0, -2, -1, 0, -1, -1], discriminant: 1
codim: 4, face: 101/175, weights: [1, -1, 0, 1, 0, 1], discriminant: 1
codim: 4, face: 102/175, weights: [0, -1, -1, 0, -1, 0], discriminant: 1
codim: 4, face: 103/175, weights: [1, -1, 0, 1, 1, 0], discriminant: 1
codim: 4, face: 104/175, weights: [0, -1, -1, 0, 0, -1], discriminant: 1
codim: 4, face: 105/175, weights: [1, 0, 0, 1, 1, 1], discriminant: 1
codim: 4, face: 106/175, weights: [0, -1, -2, -1, -1, 0], discriminant: 1
codim: 4, face: 107/175, weights: [0, -1, -2, -1, 0, -1], discriminant: 1
codim: 4, face: 108/175, weights: [1, 0, -1, 0, 1, 1], discriminant: 1
codim: 4, face: 109/175, weights: [0, -1, -2, 0, -1, -1], discriminant: 1
codim: 4, face: 110/175, weights: [1, 0, -1, 1, 0, 1], discriminant: 1
codim: 4, face: 111/175, weights: [1, 0, -1, 1, 1, 0], discriminant: 1
codim: 4, face: 112/175, weights: [0, -2, 0, -1, -1, -1], discriminant: 1
codim: 4, face: 113/175, weights: [1, -1, 1, 0, 0, 1], discriminant: 1
codim: 4, face: 114/175, weights: [0, -1, 0, -1, -1, 0], discriminant: 1
codim: 4, face: 115/175, weights: [1, -1, 1, 0, 1, 0], discriminant: 1
codim: 4, face: 116/175, weights: [0, -1, 0, -1, 0, -1], discriminant: 1
codim: 4, face: 117/175, weights: [1, 0, 1, 0, 1, 1], discriminant: 1
codim: 4, face: 118/175, weights: [0, -1, -1, -2, -1, 0], discriminant: 1
codim: 4, face: 119/175, weights: [0, -1, -1, -2, 0, -1], discriminant: 1
codim: 4, face: 120/175, weights: [1, 0, 0, -1, 1, 1], discriminant: 1
codim: 4, face: 121/175, weights: [0, -1, 0, -2, -1, -1], discriminant: 1
codim: 4, face: 122/175, weights: [1, 0, 1, -1, 0, 1], discriminant: 1
codim: 4, face: 123/175, weights: [1, 0, 1, -1, 1, 0], discriminant: 1
codim: 4, face: 124/175, weights: [1, -1, 1, 1, 0, 0], discriminant: 1
codim: 4, face: 125/175, weights: [0, -1, 0, 0, -1, -1], discriminant: 1
codim: 4, face: 126/175, weights: [1, 0, 1, 1, 0, 1], discriminant: 1
codim: 4, face: 127/175, weights: [0, -1, -1, -1, -2, 0], discriminant: 1
codim: 4, face: 128/175, weights: [0, -1, -1, 0, -2, -1], discriminant: 1
codim: 4, face: 129/175, weights: [1, 0, 0, 1, -1, 1], discriminant: 1
codim: 4, face: 130/175, weights: [0, -1, 0, -1, -2, -1], discriminant: 1
codim: 4, face: 131/175, weights: [1, 0, 1, 0, -1, 1], discriminant: 1
codim: 4, face: 132/175, weights: [1, 0, 1, 1, -1, 0], discriminant: 1
codim: 4, face: 133/175, weights: [1, 0, 1, 1, 1, 0], discriminant: 1
codim: 4, face: 134/175, weights: [0, -1, -1, -1, 0, -2], discriminant: 1
codim: 4, face: 135/175, weights: [0, -1, -1, 0, -1, -2], discriminant: 1
codim: 4, face: 136/175, weights: [1, 0, 0, 1, 1, -1], discriminant: 1
codim: 4, face: 137/175, weights: [0, -1, 0, -1, -1, -2], discriminant: 1
codim: 4, face: 138/175, weights: [1, 0, 1, 0, 1, -1], discriminant: 1
codim: 4, face: 139/175, weights: [1, 0, 1, 1, 0, -1], discriminant: 1
codim: 4, face: 140/175, weights: [2, 1, 1, 1, 2, 2], discriminant: 1
codim: 4, face: 141/175, weights: [2, 1, 1, 2, 1, 2], discriminant: 1
codim: 4, face: 142/175, weights: [2, 1, 1, 2, 2, 1], discriminant: 1
codim: 4, face: 143/175, weights: [2, 1, 2, 1, 1, 2], discriminant: 1
codim: 4, face: 144/175, weights: [2, 1, 2, 1, 2, 1], discriminant: 1
codim: 4, face: 145/175, weights: [2, 1, 2, 2, 1, 1], discriminant: 1
codim: 4, face: 146/175, weights: [0, 0, -2, -1, -1, -1], discriminant: 1
codim: 4, face: 147/175, weights: [1, 1, -1, 0, 0, 1], discriminant: 1
codim: 4, face: 148/175, weights: [0, 0, -1, -1, -1, 0], discriminant: 1
codim: 4, face: 149/175, weights: [1, 1, -1, 0, 1, 0], discriminant: 1
codim: 4, face: 150/175, weights: [0, 0, -1, -1, 0, -1], discriminant: 1
codim: 4, face: 151/175, weights: [1, 1, 0, 0, 1, 1], discriminant: 1
codim: 4, face: 152/175, weights: [0, 0, -1, -2, -1, -1], discriminant: 1
codim: 4, face: 153/175, weights: [1, 1, 0, -1, 0, 1], discriminant: 1
codim: 4, face: 154/175, weights: [1, 1, 0, -1, 1, 0], discriminant: 1
codim: 4, face: 155/175, weights: [1, 1, -1, 1, 0, 0], discriminant: 1
codim: 4, face: 156/175, weights: [0, 0, -1, 0, -1, -1], discriminant: 1
codim: 4, face: 157/175, weights: [1, 1, 0, 1, 0, 1], discriminant: 1
codim: 4, face: 158/175, weights: [0, 0, -1, -1, -2, -1], discriminant: 1
codim: 4, face: 159/175, weights: [1, 1, 0, 0, -1, 1], discriminant: 1
codim: 4, face: 160/175, weights: [1, 1, 0, 1, -1, 0], discriminant: 1
codim: 4, face: 161/175, weights: [1, 1, 0, 1, 1, 0], discriminant: 1
codim: 4, face: 162/175, weights: [0, 0, -1, -1, -1, -2], discriminant: 1
codim: 4, face: 163/175, weights: [1, 1, 0, 0, 1, -1], discriminant: 1
codim: 4, face: 164/175, weights: [1, 1, 0, 1, 0, -1], discriminant: 1
codim: 4, face: 165/175, weights: [2, 2, 1, 1, 1, 2], discriminant: 1
