codim: 5, face: 100/104, weights: [2, 3, 1, 1, 3, 0], discriminant: 1
codim: 5, face: 101/104, weights: [2, 3, 2, 3, 2, 0], discriminant: 1
codim: 5, face: 102/104, weights: [2, 2, 1, -1, 0, 0], discriminant: 1
codim: 5, face: 103/104, weights: [2, 1, 2, 0, -1, 0], discriminant: 1
codim: 5, face: 104/104, weights: [2, 3, 3, 1, 1, -1], discriminant: 1
codim: 4, face: 1/195, weights: [-2, -2, 0, 0, 0, 0], discriminant: 1
codim: 4, face: 2/195, weights: [-3, -3, -2, -1, -2, -1], discriminant: 1
codim: 4, face: 3/195, weights: [-3, -2, -2, -1, 0, -1], discriminant: 1
codim: 4, face: 4/195, weights: [-2, -2, 0, -1, -2, -1], discriminant: s34 - s51
codim: 4, face: 5/195, weights: [-2, -1, 0, -1, 0, -1], discriminant: 1
codim: 4, face: 6/195, weights: [-2, -3, -2, -1, -1, -1], discriminant: 1
codim: 4, face: 7/195, weights: [-1, -2, 0, -1, -1, -1], discriminant: 1
codim: 4, face: 8/195, weights: [-2, -2, -1, 0, -1, 1], discriminant: 1
codim: 4, face: 9/195, weights: [-2, -1, -1, 0, 1, 1], discriminant: 1
codim: 4, face: 10/195, weights: [-1, -1, 1, 0, -1, 1], discriminant: s34 - s51
codim: 4, face: 11/195, weights: [-1, 0, 1, 0, 1, 1], discriminant: 1
codim: 4, face: 12/195, weights: [-1, -2, -1, 0, 0, 1], discriminant: 1
codim: 4, face: 13/195, weights: [0, -1, 1, 0, 0, 1], discriminant: 1
codim: 4, face: 14/195, weights: [-3, -2, -3, -2, -1, -1], discriminant: 1
codim: 4, face: 15/195, weights: [-2, -1, -2, -1, 0, 1], discriminant: 1
codim: 4, face: 16/195, weights: [-2, -2, -2, -2, -2, 0], discriminant: 1
codim: 4, face: 17/195, weights: [-2, -3, -3, -2, -2, -1], discriminant: 1
codim: 4, face: 18/195, weights: [-1, -2, -2, -1, -1, 1], discriminant: 1
codim: 4, face: 19/195, weights: [-2, -1, -2, -1, 1, 0], discriminant: 1
codim: 4, face: 20/195, weights: [-2, -1, -2, -2, 0, -1], discriminant: 1
