codim: 5, face: 85/113, weights: [-1, -1, -3, 0, -1, -3], discriminant: 1
codim: 5, face: 86/113, weights: [0, 0, -2, 1, 1, -2], discriminant: 1
codim: 5, face: 87/113, weights: [2, -1, 1, 1, 3, 3], discriminant: 1
codim: 5, face: 88/113, weights: [2, 0, 2, 3, 2, 3], discriminant: 1
codim: 5, face: 89/113, weights: [2, 0, 2, 3, 3, 2], discriminant: 1
codim: 5, face: 90/113, weights: [2, 0, -1, 0, 2, 2], discriminant: 1
codim: 5, face: 91/113, weights: [2, 1, 0, 2, 1, 2], discriminant: 1
codim: 5, face: 92/113, weights: [2, 1, 0, 2, 2, 1], discriminant: 1
codim: 5, face: 93/113, weights: [2, -1, 1, -2, 0, 0], discriminant: 1
codim: 5, face: 94/113, weights: [1, -1, 1, -2, -2, -2], discriminant: 1
codim: 5, face: 95/113, weights: [2, 0, 2, 0, 1, -1], discriminant: 1
codim: 5, face: 96/113, weights: [1, -1, -1, -3, -1, -2], discriminant: s45
codim: 5, face: 97/113, weights: [3, 1, 4, 1, 1, 3], discriminant: 1
codim: 5, face: 98/113, weights: [3, 1, 4, 2, 3, 2], discriminant: 1
codim: 5, face: 99/113, weights: [3, 1, 1, -1, 1, 2], discriminant: 1
codim: 5, face: 100/113, weights: [2, 0, 2, 0, -1, 0], discriminant: 1
codim: 5, face: 101/113, weights: [2, 0, 2, 1, 0, -1], discriminant: 1
codim: 5, face: 102/113, weights: [1, 0, 0, -1, -2, -2], discriminant: m5
codim: 5, face: 103/113, weights: [3, 1, 4, 3, 2, 2], discriminant: 1
codim: 5, face: 104/113, weights: [3, 2, 2, 1, 0, 2], discriminant: 1
codim: 5, face: 105/113, weights: [3, 2, 2, 2, 2, 0], discriminant: 1
codim: 5, face: 106/113, weights: [2, 1, -1, -2, 0, 0], discriminant: 1
codim: 5, face: 107/113, weights: [0, 1, -2, -2, -2, -3], discriminant: 1
codim: 5, face: 108/113, weights: [1, 2, -1, 0, 1, -2], discriminant: 1
codim: 5, face: 109/113, weights: [3, 3, 1, 0, 0, 2], discriminant: 1
codim: 5, face: 110/113, weights: [3, 3, 1, 1, 2, 1], discriminant: 1
codim: 5, face: 111/113, weights: [2, 2, 0, 0, -1, 0], discriminant: 1
codim: 5, face: 112/113, weights: [1, 2, -1, 1, 0, -2], discriminant: 1
codim: 5, face: 113/113, weights: [3, 3, 1, 2, 1, 1], discriminant: 1
codim: 4, face: 1/208, weights: [-2, -2, 0, 0, 0, 1], discriminant: m2
codim: 4, face: 2/208, weights: [-2, -2, 0, 0, 1, 0], discriminant: m2
codim: 4, face: 3/208, weights: [-2, -2, -2, -2, 0, 0], discriminant: 1
codim: 4, face: 4/208, weights: [-1, 0, 1, 1, 2, 2], discriminant: 1
codim: 4, face: 5/208, weights: [-1, -3, -2, -2, -1, 0], discriminant: 1
codim: 4, face: 6/208, weights: [-1, -3, -2, -2, 0, -1], discriminant: s12 - s45
codim: 4, face: 7/208, weights: [0, -2, 0, 0, 2, 2], discriminant: 1
codim: 4, face: 8/208, weights: [-2, -2, 0, 1, 0, 0], discriminant: m2
codim: 4, face: 9/208, weights: [-2, -1, -1, 0, -1, 0], discriminant: 1
codim: 4, face: 10/208, weights: [-1, 0, 1, 2, 1, 2], discriminant: 1
codim: 4, face: 11/208, weights: [-1, -2, -1, 0, -1, 0], discriminant: 1
codim: 4, face: 12/208, weights: [0, -1, 1, 2, 1, 2], discriminant: 1
codim: 4, face: 13/208, weights: [-3, -1, -2, -1, 0, -2], discriminant: s23 - s45
codim: 4, face: 14/208, weights: [-3, -1, -2, 0, -1, -2], discriminant: m5 - s51
codim: 4, face: 15/208, weights: [-2, 0, 0, 2, 2, 0], discriminant: 1
codim: 4, face: 16/208, weights: [-2, -2, -2, 0, 0, -2], discriminant: 1
codim: 4, face: 17/208, weights: [0, -1, 1, 2, 2, 1], discriminant: 1
codim: 4, face: 18/208, weights: [-3, -1, -3, -1, -1, -1], discriminant: 1
codim: 4, face: 19/208, weights: [-2, 0, -2, 0, 1, 0], discriminant: 1
codim: 4, face: 20/208, weights: [-1, -2, -3, -2, -1, 0], discriminant: 1
codim: 4, face: 21/208, weights: [-2, -2, -4, -2, 0, -2], discriminant: -m2*s45 + s12*s23
codim: 4, face: 22/208, weights: [0, -1, -2, -1, 1, 1], discriminant: m2 - s23
codim: 4, face: 23/208, weights: [-2, 0, -2, 1, 0, 0], discriminant: 1
codim: 4, face: 24/208, weights: [-1, -1, -2, 0, -1, 0], discriminant: 1
codim: 4, face: 25/208, weights: [-2, -1, -3, 0, -1, -2], discriminant: m2*m5 - s12*s51
codim: 4, face: 26/208, weights: [-1, 0, -2, 1, 1, -1], discriminant: m2 - s12
codim: 4, face: 27/208, weights: [0, 0, 0, 2, 2, 2], discriminant: 1
codim: 4, face: 28/208, weights: [-1, -3, -3, -1, -1, -1], discriminant: 1
codim: 4, face: 29/208, weights: [0, -2, -2, 0, 0, 1], discriminant: 1
codim: 4, face: 30/208, weights: [0, -2, -2, 0, 1, 0], discriminant: 1
codim: 4, face: 31/208, weights: [-2, -2, 1, 0, 0, 0], discriminant: m2
codim: 4, face: 32/208, weights: [-2, -1, -1, -2, -2, 0], discriminant: s23 - s51
codim: 4, face: 33/208, weights: [-2, -1, 0, -2, -2, -1], discriminant: m5 - s45
codim: 4, face: 34/208, weights: [-1, 0, 2, 0, 0, 2], discriminant: 1
codim: 4, face: 35/208, weights: [-1, -2, -1, -2, -2, 0], discriminant: 1
codim: 4, face: 36/208, weights: [-1, -2, 0, -2, -2, -1], discriminant: m5 - s45
codim: 4, face: 37/208, weights: [0, -1, 2, 0, 0, 2], discriminant: 1
codim: 4, face: 38/208, weights: [-2, -1, 0, -1, 0, -1], discriminant: 1
codim: 4, face: 39/208, weights: [-1, 0, 2, 1, 2, 1], discriminant: 1
codim: 4, face: 40/208, weights: [-1, -2, 0, -1, 0, -1], discriminant: 1
