codim: 4, face: 53/136, weights: [-1, 1, 1, 1, 0, -1], discriminant: 1
codim: 4, face: 54/136, weights: [-2, -2, 0, 0, -2, -2], discriminant: 1
codim: 4, face: 55/136, weights: [-1, -1, -1, -1, -3, -1], discriminant: 1
codim: 4, face: 56/136, weights: [-1, -1, 0, -2, -3, -2], discriminant: 1
codim: 4, face: 57/136, weights: [0, 0, 1, 0, -2, 0], discriminant: 1
codim: 4, face: 58/136, weights: [-2, -1, -1, 0, -2, -3], discriminant: 1
codim: 4, face: 59/136, weights: [-2, -1, 0, -1, -2, -3], discriminant: 1
codim: 4, face: 60/136, weights: [-1, 0, 1, 1, -1, -2], discriminant: 1
codim: 4, face: 61/136, weights: [-1, 0, -1, 0, -2, -2], discriminant: 1
codim: 4, face: 62/136, weights: [-1, 0, -1, -2, -3, -2], discriminant: 1
codim: 4, face: 63/136, weights: [0, 1, 0, 0, -2, 0], discriminant: 1
codim: 4, face: 64/136, weights: [-2, 0, -1, -1, -2, -3], discriminant: 1
codim: 4, face: 65/136, weights: [-1, 1, 0, 1, -1, -2], discriminant: 1
codim: 4, face: 66/136, weights: [0, 1, 1, -1, -2, -1], discriminant: 1
codim: 4, face: 67/136, weights: [-1, 1, 1, 0, -1, -2], discriminant: 1
codim: 4, face: 68/136, weights: [0, 1, 1, 1, -1, -1], discriminant: 1
codim: 4, face: 69/136, weights: [-1, -1, 1, 1, 1, 0], discriminant: 1
codim: 4, face: 70/136, weights: [-1, 0, 1, 1, 1, -1], discriminant: 1
codim: 4, face: 71/136, weights: [1, 1, 1, 2, 2, 2], discriminant: 1
codim: 4, face: 72/136, weights: [1, 1, 2, 1, 2, 2], discriminant: 1
codim: 4, face: 73/136, weights: [1, 1, 2, 2, 1, 2], discriminant: 1
codim: 4, face: 74/136, weights: [1, 1, 2, 2, 2, 1], discriminant: 1
codim: 4, face: 75/136, weights: [1, 2, 1, 1, 2, 2], discriminant: 1
codim: 4, face: 76/136, weights: [1, 2, 1, 2, 1, 2], discriminant: 1
codim: 4, face: 77/136, weights: [1, 2, 1, 2, 2, 1], discriminant: 1
codim: 4, face: 78/136, weights: [1, 2, 2, 1, 1, 2], discriminant: 1
codim: 4, face: 79/136, weights: [1, 2, 2, 1, 2, 1], discriminant: 1
codim: 4, face: 80/136, weights: [1, 2, 2, 2, 1, 1], discriminant: 1
codim: 4, face: 81/136, weights: [-1, -3, -1, -1, -1, -1], discriminant: 1
codim: 4, face: 82/136, weights: [0, -2, 0, 0, 0, 1], discriminant: 1
codim: 4, face: 83/136, weights: [0, -2, -2, -2, -2, 0], discriminant: 1
codim: 4, face: 84/136, weights: [0, -1, 0, -2, -2, -1], discriminant: 1
codim: 4, face: 85/136, weights: [1, 0, 1, -1, -1, 1], discriminant: s34 - s345
codim: 4, face: 86/136, weights: [0, -2, 0, 0, 1, 0], discriminant: 1
codim: 4, face: 87/136, weights: [0, -2, -2, -1, 0, -1], discriminant: 1
codim: 4, face: 88/136, weights: [0, -1, 0, -1, 0, -1], discriminant: 1
codim: 4, face: 89/136, weights: [1, -1, -1, 0, 1, 1], discriminant: 1
codim: 4, face: 90/136, weights: [1, 0, 1, 0, 1, 1], discriminant: 1
codim: 4, face: 91/136, weights: [0, -2, -3, -2, -1, -1], discriminant: 1
codim: 4, face: 92/136, weights: [1, -1, -2, -1, 0, 1], discriminant: 1
codim: 4, face: 93/136, weights: [0, -1, -2, -3, -2, -1], discriminant: 1
codim: 4, face: 94/136, weights: [1, 0, -1, -2, -1, 1], discriminant: 1
codim: 4, face: 95/136, weights: [1, -1, -2, -1, 1, 0], discriminant: 1
codim: 4, face: 96/136, weights: [0, -1, -2, -2, 0, -1], discriminant: 1
codim: 4, face: 97/136, weights: [1, 0, -1, -1, 1, 1], discriminant: 1
codim: 4, face: 98/136, weights: [1, 0, 0, -2, 0, 0], discriminant: 1
codim: 4, face: 99/136, weights: [0, -2, 0, 1, 0, 0], discriminant: 1
codim: 4, face: 100/136, weights: [0, -2, -2, 0, -2, -2], discriminant: -s12*s45 + s123*s345
codim: 4, face: 101/136, weights: [0, -1, 0, -1, -2, -2], discriminant: 1
codim: 4, face: 102/136, weights: [1, 0, 1, 1, -1, -1], discriminant: s12 - s345
codim: 4, face: 103/136, weights: [1, -1, -1, 1, 0, 1], discriminant: s345 - s45
codim: 4, face: 104/136, weights: [1, 0, 1, 1, 0, 1], discriminant: 1
codim: 4, face: 105/136, weights: [0, -1, -1, -2, -3, -2], discriminant: 1
codim: 4, face: 106/136, weights: [1, 0, 0, 0, -2, 0], discriminant: 1
codim: 4, face: 107/136, weights: [1, 0, 1, -1, -2, -1], discriminant: 1
codim: 4, face: 108/136, weights: [1, -1, -1, 1, 1, 0], discriminant: s12 - s123
codim: 4, face: 109/136, weights: [1, 0, 1, 1, 1, 0], discriminant: 1
codim: 4, face: 110/136, weights: [-1, -1, -1, -1, -1, -3], discriminant: 1
codim: 4, face: 111/136, weights: [0, 0, 0, 1, 0, -2], discriminant: 1
codim: 4, face: 112/136, weights: [0, 0, 1, 0, 0, -2], discriminant: 1
codim: 4, face: 113/136, weights: [2, 1, 1, 1, 2, 2], discriminant: 1
codim: 4, face: 114/136, weights: [2, 1, 1, 2, 1, 2], discriminant: 1
codim: 4, face: 115/136, weights: [2, 1, 1, 2, 2, 1], discriminant: 1
codim: 4, face: 116/136, weights: [2, 1, 2, 1, 1, 2], discriminant: 1
codim: 4, face: 117/136, weights: [2, 1, 2, 1, 2, 1], discriminant: 1
codim: 4, face: 118/136, weights: [2, 1, 2, 2, 1, 1], discriminant: 1
codim: 4, face: 119/136, weights: [1, 0, -2, 0, 0, 0], discriminant: 1
codim: 4, face: 120/136, weights: [0, 0, -2, -2, -2, -2], discriminant: 1
codim: 4, face: 121/136, weights: [1, 1, 0, 1, -1, -1], discriminant: s123 - s45
codim: 4, face: 122/136, weights: [1, 1, -1, -1, 0, 1], discriminant: 1
codim: 4, face: 123/136, weights: [1, 1, 0, 1, 0, 1], discriminant: 1
codim: 4, face: 124/136, weights: [1, 1, -1, -2, -1, 0], discriminant: 1
codim: 4, face: 125/136, weights: [1, 1, 0, -1, -2, -1], discriminant: 1
codim: 4, face: 126/136, weights: [1, 1, 0, -1, -1, 1], discriminant: 1
codim: 4, face: 127/136, weights: [1, 1, -1, -1, 1, 0], discriminant: s123 - s56
codim: 4, face: 128/136, weights: [1, 1, 0, 1, 1, 0], discriminant: 1
codim: 4, face: 129/136, weights: [0, 1, 0, 0, 0, -2], discriminant: 1
codim: 4, face: 130/136, weights: [2, 2, 1, 1, 1, 2], discriminant: 1
codim: 4, face: 131/136, weights: [2, 2, 1, 1, 2, 1], discriminant: 1
codim: 4, face: 132/136, weights: [2, 2, 1, 2, 1, 1], discriminant: 1
codim: 4, face: 133/136, weights: [1, 1, 1, -1, -1, 0], discriminant: 1
codim: 4, face: 134/136, weights: [1, 1, 1, 0, 1, 0], discriminant: 1
codim: 4, face: 135/136, weights: [1, 1, 1, 0, -1, -1], discriminant: 1
codim: 4, face: 136/136, weights: [2, 2, 2, 1, 1, 1], discriminant: 1
codim: 3, face: 1/131, weights: [-2, 0, 0, 0, 0, 0], discriminant: 1
codim: 3, face: 2/131, weights: [-2, -2, -1, -1, -1, 0], discriminant: 1
codim: 3, face: 3/131, weights: [-3, -2, -1, -1, -1, -2], discriminant: 1
codim: 3, face: 4/131, weights: [-1, 0, -1, -1, -1, 0], discriminant: 1
codim: 3, face: 5/131, weights: [-2, 0, -1, -1, -1, -2], discriminant: 1
codim: 3, face: 6/131, weights: [-1, -1, 0, 0, 1, 1], discriminant: 1
codim: 3, face: 7/131, weights: [-2, -1, 0, 0, 1, -1], discriminant: 1
codim: 3, face: 8/131, weights: [-1, 1, 0, 0, 1, -1], discriminant: 1
codim: 3, face: 9/131, weights: [0, 1, 0, 0, 1, 1], discriminant: 1
codim: 3, face: 10/131, weights: [-2, -2, -1, -1, 0, -1], discriminant: 1
codim: 3, face: 11/131, weights: [-1, -1, -2, -2, -1, 0], discriminant: 1
codim: 3, face: 12/131, weights: [-1, -1, -2, -2, 0, -1], discriminant: 1
codim: 3, face: 13/131, weights: [0, 0, -1, -1, 1, 1], discriminant: 1
codim: 3, face: 14/131, weights: [-2, -1, -1, -1, 0, -2], discriminant: 1
codim: 3, face: 15/131, weights: [-1, 0, -2, -2, -1, -1], discriminant: 1
codim: 3, face: 16/131, weights: [0, 1, -1, -1, 0, 1], discriminant: 1
codim: 3, face: 17/131, weights: [0, 1, -1, -1, 1, 0], discriminant: 1
codim: 3, face: 18/131, weights: [-1, -1, 0, 1, 0, 1], discriminant: 1
codim: 3, face: 19/131, weights: [-2, -1, 0, 1, 0, -1], discriminant: 1
codim: 3, face: 20/131, weights: [0, 1, 0, 1, 0, 1], discriminant: s23^2 - 2*s23*s45 + s23*s61 - 2*s45^2 - 2*s45*s61 + s61^2
codim: 3, face: 21/131, weights: [-1, 1, 0, 1, 0, -1], discriminant: 1
codim: 3, face: 22/131, weights: [-2, -2, -1, 0, -1, -1], discriminant: 1
codim: 3, face: 23/131, weights: [-1, -1, -1, 0, -1, 0], discriminant: 1
codim: 3, face: 24/131, weights: [-2, -1, -1, 0, -1, -2], discriminant: 1
codim: 3, face: 25/131, weights: [-1, 0, -1, 0, -1, -1], discriminant: 1
codim: 3, face: 26/131, weights: [-1, -1, 0, 1, 1, 0], discriminant: 1
codim: 3, face: 27/131, weights: [-1, 0, 0, 1, 1, -1], discriminant: 1
codim: 3, face: 28/131, weights: [0, 0, 0, 1, 1, 1], discriminant: 1
codim: 3, face: 29/131, weights: [0, 1, 0, 1, 1, 0], discriminant: 1
codim: 3, face: 30/131, weights: [-2, -3, -2, -1, -1, -1], discriminant: 1
codim: 3, face: 31/131, weights: [-1, -2, -1, 0, 0, 1], discriminant: 1
codim: 3, face: 32/131, weights: [-1, -2, -2, -1, -1, 0], discriminant: 1
codim: 3, face: 33/131, weights: [-1, -2, -1, 0, 1, 0], discriminant: 1
codim: 3, face: 34/131, weights: [-1, -2, -2, -1, 0, -1], discriminant: 1
codim: 3, face: 35/131, weights: [0, -1, -1, 0, 1, 1], discriminant: 1
codim: 3, face: 36/131, weights: [-1, -2, -3, -2, -1, -1], discriminant: 1
codim: 3, face: 37/131, weights: [0, -1, -2, -1, 0, 1], discriminant: 1
codim: 3, face: 38/131, weights: [0, -1, -2, -1, 1, 0], discriminant: 1
codim: 3, face: 39/131, weights: [-1, -2, -1, 1, 0, 0], discriminant: 1
codim: 3, face: 40/131, weights: [-1, -2, -2, 0, -1, -1], discriminant: 1
codim: 3, face: 41/131, weights: [0, -1, -1, 1, 0, 1], discriminant: 1
codim: 3, face: 42/131, weights: [0, -1, -1, 1, 1, 0], discriminant: 1
codim: 3, face: 43/131, weights: [0, 0, -2, 0, 0, 0], discriminant: 1
codim: 3, face: 44/131, weights: [-1, -1, 1, 0, 0, 1], discriminant: 1
codim: 3, face: 45/131, weights: [-2, -1, 1, 0, 0, -1], discriminant: 1
codim: 3, face: 46/131, weights: [-1, 1, 1, 0, 0, -1], discriminant: 1
codim: 3, face: 47/131, weights: [0, 1, 1, 0, 0, 1], discriminant: 1
codim: 3, face: 48/131, weights: [-2, -2, 0, -1, -1, -1], discriminant: 1
codim: 3, face: 49/131, weights: [-1, -1, -1, -2, -2, 0], discriminant: 1
codim: 3, face: 50/131, weights: [-1, -1, 0, -2, -2, -1], discriminant: 1
codim: 3, face: 51/131, weights: [0, 0, 1, -1, -1, 1], discriminant: 1
codim: 3, face: 52/131, weights: [-2, -1, 0, -1, -1, -2], discriminant: 1
codim: 3, face: 53/131, weights: [-1, 0, -1, -2, -2, -1], discriminant: 1
codim: 3, face: 54/131, weights: [0, 1, 0, -1, -1, 1], discriminant: 1
codim: 3, face: 55/131, weights: [0, 1, 1, -1, -1, 0], discriminant: 1
codim: 3, face: 56/131, weights: [-1, -1, 1, 0, 1, 0], discriminant: 1
codim: 3, face: 57/131, weights: [0, 0, 1, 0, 1, 1], discriminant: 1
codim: 3, face: 58/131, weights: [-1, 0, 1, 0, 1, -1], discriminant: 1
codim: 3, face: 59/131, weights: [0, 1, 1, 0, 1, 0], discriminant: 1
codim: 3, face: 60/131, weights: [-1, -1, 0, -1, 0, -1], discriminant: 1
codim: 3, face: 61/131, weights: [-1, -1, -2, -3, -2, -1], discriminant: 1
