codim: 3, face: 315/421, weights: [0, 0, 1, 0, 1, 0, -1], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 316/421, weights: [0, 0, 0, -2, 0, 0, -2], discriminant: 1
codim: 3, face: 317/421, weights: [1, 2, 2, 1, 1, 1, 1], discriminant: 1
codim: 3, face: 318/421, weights: [0, 0, 1, 1, 0, 0, -1], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 319/421, weights: [0, 0, 0, 0, -2, 0, -2], discriminant: 1
codim: 3, face: 320/421, weights: [-1, -1, -1, -1, -1, -2, -2], discriminant: 1
codim: 3, face: 321/421, weights: [0, 0, 0, 0, 1, -1, -1], discriminant: 1
codim: 3, face: 322/421, weights: [0, 0, 0, 1, 0, -1, -1], discriminant: 1
codim: 3, face: 323/421, weights: [0, 0, 1, 0, 0, -1, -1], discriminant: 1
codim: 3, face: 324/421, weights: [0, 1, 0, 0, 0, -1, -1], discriminant: 1
codim: 3, face: 325/421, weights: [1, 1, 1, 1, 1, 2, 0], discriminant: 1
codim: 3, face: 326/421, weights: [1, 1, 1, 1, 2, 1, 0], discriminant: 1
codim: 3, face: 327/421, weights: [1, 1, 1, 2, 1, 1, 0], discriminant: 1
codim: 3, face: 328/421, weights: [1, 1, 2, 1, 1, 1, 0], discriminant: 1
codim: 3, face: 329/421, weights: [1, 2, 1, 1, 1, 1, 0], discriminant: 1
codim: 3, face: 330/421, weights: [0, -2, -1, -1, -1, -1, -1], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 331/421, weights: [2, -1, 0, 0, 1, 1, 1], discriminant: 1
codim: 3, face: 332/421, weights: [1, -1, -1, -1, 0, 0, 0], discriminant: 1
codim: 3, face: 333/421, weights: [1, -1, 0, 1, 0, 0, 0], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 334/421, weights: [0, -1, -1, 0, -1, -1, -1], discriminant: m1^2*m3 - m1*m2*m3 - m1*m2*m4 + m1*m2*s + m1*m3^2 - m1*m3*m4 - m1*m3*s - m1*m3*t + m1*m4*t - m1*s*t + m2^2*m4 - m2*m3*m4 + m2*m3*t + m2*m4^2 - m2*m4*s - m2*m4*t - m2*s*t + m3*m4*s - m3*s*t - m4*s*t + s^2*t + s*t^2
codim: 3, face: 335/421, weights: [2, 0, 0, 1, 1, 1, 1], discriminant: 1
codim: 3, face: 336/421, weights: [0, -1, -2, -1, -1, -1, -1], discriminant: m3^2 - 2*m3*m4 - 2*m3*s + m4^2 - 2*m4*s + s^2
codim: 3, face: 337/421, weights: [2, 0, -1, 0, 1, 1, 1], discriminant: 1
codim: 3, face: 338/421, weights: [1, 0, -1, 1, 0, 0, 0], discriminant: m3^2 - 2*m3*m4 - 2*m3*s + m4^2 - 2*m4*s + s^2
codim: 3, face: 339/421, weights: [1, -1, 0, 0, 0, 0, 1], discriminant: m4
codim: 3, face: 340/421, weights: [0, -1, -1, -1, -1, -1, 0], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2, m4
codim: 3, face: 341/421, weights: [2, 0, 0, 0, 1, 1, 2], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 3, face: 342/421, weights: [1, 0, 0, 1, 0, 0, 1], discriminant: m4, m2
codim: 3, face: 343/421, weights: [1, 0, -1, 0, 0, 0, 1], discriminant: m4
codim: 3, face: 344/421, weights: [1, -1, 0, 0, 0, 1, 0], discriminant: t
codim: 3, face: 345/421, weights: [0, -1, -1, -1, -1, 0, -1], discriminant: m2
codim: 3, face: 346/421, weights: [2, 0, 0, 0, 1, 2, 1], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 3, face: 347/421, weights: [1, 0, 0, 1, 0, 1, 0], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 3, face: 348/421, weights: [1, 0, -1, 0, 0, 1, 0], discriminant: m3
codim: 3, face: 349/421, weights: [1, -1, 0, 0, -1, 0, 0], discriminant: 1
codim: 3, face: 350/421, weights: [0, -1, -1, -1, -2, -1, -1], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 3, face: 351/421, weights: [1, 0, 0, 0, -1, 0, 1], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 3, face: 352/421, weights: [1, 0, 0, 0, -1, 1, 0], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 3, face: 353/421, weights: [1, 0, 0, 1, -1, 0, 0], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 3, face: 354/421, weights: [1, 0, -1, 0, -1, 0, 0], discriminant: 1
codim: 3, face: 355/421, weights: [1, -1, 0, 0, 1, 0, 0], discriminant: m1
codim: 3, face: 356/421, weights: [0, -1, -1, -1, 0, -1, -1], discriminant: m1^2*m3^2 - 2*m1*m2*m3*m4 - 2*m1*m3*s*t + m2^2*m4^2 - 2*m2*m4*s*t + s^2*t^2
codim: 3, face: 357/421, weights: [2, 0, 0, 0, 2, 1, 1], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 3, face: 358/421, weights: [1, 0, 0, 1, 1, 0, 0], discriminant: m1^2 - 2*m1*m2 - 2*m1*s + m2^2 - 2*m2*s + s^2
codim: 3, face: 359/421, weights: [1, 0, -1, 0, 1, 0, 0], discriminant: s
codim: 3, face: 360/421, weights: [1, -1, 0, 0, 0, -1, 0], discriminant: 1
